"Household income","Campaign","Ad group","Status","Bid adj.","Avg. CPM","Impr.","Interactions","Interaction rate","Avg. cost","Cost","Conv. rate","Conversions","Cost / conv."
"Unknown","Rem | EU | EN","customer list","Campaign paused","—","—","0","0","—","—","€0.00","0.00%","0.00","€0.00"
"Unknown","Rem | EU | DE","14 days add cart","Campaign paused","—","—","0","0","—","—","€0.00","0.00%","0.00","€0.00"
"Unknown","Rem | EU | DE","customer list","Campaign paused","—","—","0","0","—","—","€0.00","0.00%","0.00","€0.00"
"Unknown","Rem | NL","14 days add cart","Campaign paused","—","—","0","0","—","—","€0.00","0.00%","0.00","€0.00"
"Unknown","Rem | NL","customer list","Campaign paused","—","—","0","0","—","—","€0.00","0.00%","0.00","€0.00"
"Unknown","DGen | EN","All Products","Campaign paused","—","€0.72","446,407","1,440","Clicks, engagements","0.32%","€0.22","€322.04","0.00%","0.00"
"Unknown","ADa_Brand_NL","Phrase","Eligible","—","€90.87","23","3","Clicks","13.04%","€0.70","€2.09","0.00%","0.00"
"Unknown","Rem | EU | EN","customer list","Campaign paused","—","—","0","0","—","—","€0.00","0.00%","0.00","€0.00"
"Unknown","Rem | EU | DE","14 days add cart","Campaign paused","—","—","0","0","—","—","€0.00","0.00%","0.00","€0.00"
"Unknown","Rem | EU | DE","customer list","Campaign paused","—","—","0","0","—","—","€0.00","0.00%","0.00","€0.00"
"Unknown","Rem | NL","14 days add cart","Campaign paused","—","—","0","0","—","—","€0.00","0.00%","0.00","€0.00"
"Unknown","Rem | NL","customer list","Campaign paused","—","—","0","0","—","—","€0.00","0.00%","0.00","€0.00"
"Unknown","DGen | EN","All Products","Campaign paused","—","€0.72","446,407","1,440","Clicks, engagements","0.32%","€0.22","€322.04","0.00%","0.00"
"Unknown","ADa_Brand_NL","Phrase","Eligible","—","€90.87","23","3","Clicks","13.04%","€0.70","€2.09","0.00%","0.00"
"Unknown","Rem | EU | EN","customer list","Campaign paused","—","—","0","0","—","—","€0.00","0.00%","0.00","€0.00"
"Unknown","Rem | EU | DE","14 days add cart","Campaign paused","—","—","0","0","—","—","€0.00","0.00%","0.00","€0.00"
"Unknown","Rem | EU | DE","customer list","Campaign paused","—","—","0","0","—","—","€0.00","0.00%","0.00","€0.00"
"Unknown","Rem | NL","14 days add cart","Campaign paused","—","—","0","0","—","—","€0.00","0.00%","0.00","€0.00"
"Unknown","Rem | NL","customer list","Campaign paused","—","—","0","0","—","—","€0.00","0.00%","0.00","€0.00"
"Unknown","DGen | EN","All Products","Campaign paused","—","€0.72","446,407","1,440","Clicks, engagements","0.32%","€0.22","€322.04","0.00%","0.00"
"Unknown","ADa_Brand_NL","Phrase","Eligible","—","€90.87","23","3","Clicks","13.04%","€0.70","€2.09","0.00%","0.00"
"Unknown","Rem | EU | EN","customer list","Campaign paused","—","—","0","0","—","—","€0.00","0.00%","0.00","€0.00"
"Unknown","Rem | EU | DE","14 days add cart","Campaign paused","—","—","0","0","—","—","€0.00","0.00%","0.00","€0.00"
"Unknown","Rem | EU | DE","customer list","Campaign paused","—","—","0","0","—","—","€0.00","0.00%","0.00","€0.00"
"Unknown","Rem | NL","14 days add cart","Campaign paused","—","—","0","0","—","—","€0.00","0.00%","0.00","€0.00"
"Unknown","Rem | NL","customer list","Campaign paused","—","—","0","0","—","—","€0.00","0.00%","0.00","€0.00"
"Unknown","DGen | EN","All Products","Campaign paused","—","€0.72","446,407","1,440","Clicks, engagements","0.32%","€0.22","€322.04","0.00%","0.00"
"Unknown","ADa_Brand_NL","Phrase","Eligible","—","€90.87","23","3","Clicks","13.04%","€0.70","€2.09","0.00%","0.00"
"Unknown","Rem | EU | EN","customer list","Campaign paused","—","—","0","0","—","—","€0.00","0.00%","0.00","€0.00"
"Unknown","Rem | EU | DE","14 days add cart","Campaign paused","—","—","0","0","—","—","€0.00","0.00%","0.00","€0.00"
"Unknown","Rem | EU | DE","customer list","Campaign paused","—","—","0","0","—","—","€0.00","0.00%","0.00","€0.00"
"Unknown","Rem | NL","14 days add cart","Campaign paused","—","—","0","0","—","—","€0.00","0.00%","0.00","€0.00"
"Unknown","Rem | NL","customer list","Campaign paused","—","—","0","0","—","—","€0.00","0.00%","0.00","€0.00"
"Unknown","DGen | EN","All Products","Campaign paused","—","€0.72","446,407","1,440","Clicks, engagements","0.32%","€0.22","€322.04","0.00%","0.00"
"Unknown","ADa_Brand_NL","Phrase","Eligible","—","€90.87","23","3","Clicks","13.04%","€0.70","€2.09","0.00%","0.00"
"Unknown","Rem | EU | EN","customer list","Campaign paused","—","—","0","0","—","—","€0.00","0.00%","0.00","€0.00"
"Unknown","Rem | EU | DE","14 days add cart","Campaign paused","—","—","0","0","—","—","€0.00","0.00%","0.00","€0.00"
"Unknown","Rem | EU | DE","customer list","Campaign paused","—","—","0","0","—","—","€0.00","0.00%","0.00","€0.00"
"Unknown","Rem | NL","14 days add cart","Campaign paused","—","—","0","0","—","—","€0.00","0.00%","0.00","€0.00"
"Unknown","Rem | NL","customer list","Campaign paused","—","—","0","0","—","—","€0.00","0.00%","0.00","€0.00"
"Unknown","DGen | EN","All Products","Campaign paused","—","€0.72","446,407","1,440","Clicks, engagements","0.32%","€0.22","€322.04","0.00%","0.00"
"Unknown","ADa_Brand_NL","Phrase","Eligible","—","€90.87","23","3","Clicks","13.04%","€0.70","€2.09","0.00%","0.00"
"Unknown","Rem | EU | EN","customer list","Campaign paused","—","—","0","0","—","—","€0.00","0.00%","0.00","€0.00"
"Unknown","Rem | EU | DE","14 days add cart","Campaign paused","—","—","0","0","—","—","€0.00","0.00%","0.00","€0.00"
"Unknown","Rem | EU | DE","customer list","Campaign paused","—","—","0","0","—","—","€0.00","0.00%","0.00","€0.00"
"Unknown","Rem | NL","14 days add cart","Campaign paused","—","—","0","0","—","—","€0.00","0.00%","0.00","€0.00"
"Unknown","Rem | NL","customer list","Campaign paused","—","—","0","0","—","—","€0.00","0.00%","0.00","€0.00"
"Unknown","DGen | EN","All Products","Campaign paused","—","€0.72","446,407","1,440","Clicks, engagements","0.32%","€0.22","€322.04","0.00%","0.00"
"Unknown","ADa_Brand_NL","Phrase","Eligible","—","€90.87","23","3","Clicks","13.04%","€0.70","€2.09","0.00%","0.00"
"Unknown","Rem | EU | EN","customer list","Campaign paused","—","—","0","0","—","—","€0.00","0.00%","0.00","€0.00"
"Unknown","Rem | EU | DE","14 days add cart","Campaign paused","—","—","0","0","—","—","€0.00","0.00%","0.00","€0.00"
"Unknown","Rem | EU | DE","customer list","Campaign paused","—","—","0","0","—","—","€0.00","0.00%","0.00","€0.00"
"Unknown","Rem | NL","14 days add cart","Campaign paused","—","—","0","0","—","—","€0.00","0.00%","0.00","€0.00"
"Unknown","Rem | NL","customer list","Campaign paused","—","—","0","0","—","—","€0.00","0.00%","0.00","€0.00"
"Unknown","DGen | EN","All Products","Campaign paused","—","€0.72","446,407","1,440","Clicks, engagements","0.32%","€0.22","€322.04","0.00%","0.00"
"Unknown","ADa_Brand_NL","Phrase","Eligible","—","€90.87","23","3","Clicks","13.04%","€0.70","€2.09","0.00%","0.00"
"Unknown","Rem | EU | EN","customer list","Campaign paused","—","—","0","0","—","—","€0.00","0.00%","0.00","€0.00"
"Unknown","Rem | EU | DE","14 days add cart","Campaign paused","—","—","0","0","—","—","€0.00","0.00%","0.00","€0.00"
"Unknown","Rem | EU | DE","customer list","Campaign paused","—","—","0","0","—","—","€0.00","0.00%","0.00","€0.00"
"Unknown","Rem | NL","14 days add cart","Campaign paused","—","—","0","0","—","—","€0.00","0.00%","0.00","€0.00"
"Unknown","Rem | NL","customer list","Campaign paused","—","—","0","0","—","—","€0.00","0.00%","0.00","€0.00"
"Unknown","DGen | EN","All Products","Campaign paused","—","€0.72","446,407","1,440","Clicks, engagements","0.32%","€0.22","€322.04","0.00%","0.00"
"Unknown","ADa_Brand_NL","Phrase","Eligible","—","€90.87","23","3","Clicks","13.04%","€0.70","€2.09","0.00%","0.00"
"Unknown","Rem | EU | EN","customer list","Campaign paused","—","—","0","0","—","—","€0.00","0.00%","0.00","€0.00"
"Unknown","Rem | EU | DE","14 days add cart","Campaign paused","—","—","0","0","—","—","€0.00","0.00%","0.00","€0.00"
"Unknown","Rem | EU | DE","customer list","Campaign paused","—","—","0","0","—","—","€0.00","0.00%","0.00","€0.00"
"Unknown","Rem | NL","14 days add cart","Campaign paused","—","—","0","0","—","—","€0.00","0.00%","0.00","€0.00"
"Unknown","Rem | NL","customer list","Campaign paused","—","—","0","0","—","—","€0.00","0.00%","0.00","€0.00"
"Unknown","DGen | EN","All Products","Campaign paused","—","€0.72","446,407","1,440","Clicks, engagements","0.32%","€0.22","€322.04","0.00%","0.00"
"Unknown","ADa_Brand_NL","Phrase","Eligible","—","€90.87","23","3","Clicks","13.04%","€0.70","€2.09","0.00%","0.00"
"Unknown","Rem | EU | EN","customer list","Campaign paused","—","—","0","0","—","—","€0.00","0.00%","0.00","€0.00"
"Unknown","Rem | EU | DE","14 days add cart","Campaign paused","—","—","0","0","—","—","€0.00","0.00%","0.00","€0.00"
"Unknown","Rem | EU | DE","customer list","Campaign paused","—","—","0","0","—","—","€0.00","0.00%","0.00","€0.00"
"Unknown","Rem | NL","14 days add cart","Campaign paused","—","—","0","0","—","—","€0.00","0.00%","0.00","€0.00"
"Unknown","Rem | NL","customer list","Campaign paused","—","—","0","0","—","—","€0.00","0.00%","0.00","€0.00"
"Unknown","DGen | EN","All Products","Campaign paused","—","€0.72","446,407","1,440","Clicks, engagements","0.32%","€0.22","€322.04","0.00%","0.00"
"Unknown","ADa_Brand_NL","Phrase","Eligible","—","€90.87","23","3","Clicks","13.04%","€0.70","€2.09","0.00%","0.00"
"Unknown","Rem | EU | EN","customer list","Campaign paused","—","—","0","0","—","—","€0.00","0.00%","0.00","€0.00"
"Unknown","Rem | EU | DE","14 days add cart","Campaign paused","—","—","0","0","—","—","€0.00","0.00%","0.00","€0.00"
"Unknown","Rem | EU | DE","customer list","Campaign paused","—","—","0","0","—","—","€0.00","0.00%","0.00","€0.00"
"Unknown","Rem | NL","14 days add cart","Campaign paused","—","—","0","0","—","—","€0.00","0.00%","0.00","€0.00"
"Unknown","Rem | NL","customer list","Campaign paused","—","—","0","0","—","—","€0.00","0.00%","0.00","€0.00"
"Unknown","DGen | EN","All Products","Campaign paused","—","€0.72","446,407","1,440","Clicks, engagements","0.32%","€0.22","€322.04","0.00%","0.00"
"Unknown","ADa_Brand_NL","Phrase","Eligible","—","€90.87","23","3","Clicks","13.04%","€0.70","€2.09","0.00%","0.00"
"Unknown","Rem | EU | EN","customer list","Campaign paused","—","—","0","0","—","—","€0.00","0.00%","0.00","€0.00"
"Unknown","Rem | EU | DE","14 days add cart","Campaign paused","—","—","0","0","—","—","€0.00","0.00%","0.00","€0.00"
"Unknown","Rem | EU | DE","customer list","Campaign paused","—","—","0","0","—","—","€0.00","0.00%","0.00","€0.00"
"Unknown","Rem | NL","14 days add cart","Campaign paused","—","—","0","0","—","—","€0.00","0.00%","0.00","€0.00"
"Unknown","Rem | NL","customer list","Campaign paused","—","—","0","0","—","—","€0.00","0.00%","0.00","€0.00"
"Unknown","DGen | EN","All Products","Campaign paused","—","€0.72","446,407","1,440","Clicks, engagements","0.32%","€0.22","€322.04","0.00%","0.00"
"Unknown","ADa_Brand_NL","Phrase","Eligible","—","€90.87","23","3","Clicks","13.04%","€0.70","€2.09","0.00%","0.00"
"Unknown","Rem | EU | EN","customer list","Campaign paused","—","—","0","0","—","—","€0.00","0.00%","0.00","€0.00"
"Unknown","Rem | EU | DE","14 days add cart","Campaign paused","—","—","0","0","—","—","€0.00","0.00%","0.00","€0.00"
"Unknown","Rem | EU | DE","customer list","Campaign paused","—","—","0","0","—","—","€0.00","0.00%","0.00","€0.00"
"Unknown","Rem | NL","14 days add cart","Campaign paused","—","—","0","0","—","—","€0.00","0.00%","0.00","€0.00"
"Unknown","Rem | NL","customer list","Campaign paused","—","—","0","0","—","—","€0.00","0.00%","0.00","€0.00"
"Unknown","DGen | EN","All Products","Campaign paused","—","€0.72","446,407","1,440","Clicks, engagements","0.32%","€0.22","€322.04","0.00%","0.00"
"Unknown","ADa_Brand_NL","Phrase","Eligible","—","€90.87","23","3","Clicks","13.04%","€0.70","€2.09","0.00%","0.00"
"Unknown","Rem | EU | EN","customer list","Campaign paused","—","—","0","0","—","—","€0.00","0.00%","0.00","€0.00"
"Unknown","Rem | EU | DE","14 days add cart","Campaign paused","—","—","0","0","—","—","€0.00","0.00%","0.00","€0.00"
"Unknown","Rem | EU | DE","customer list","Campaign paused","—","—","0","0","—","—","€0.00","0.00%","0.00","€0.00"
"Unknown","Rem | NL","14 days add cart","Campaign paused","—","—","0","0","—","—","€0.00","0.00%","0.00","€0.00"
"Unknown","Rem | NL","customer list","Campaign paused","—","—","0","0","—","—","€0.00","0.00%","0.00","€0.00"
"Unknown","DGen | EN","All Products","Campaign paused","—","€0.72","446,407","1,440","Clicks, engagements","0.32%","€0.22","€322.04","0.00%","0.00"
"Unknown","ADa_Brand_NL","Phrase","Eligible","—","€90.87","23","3","Clicks","13.04%","€0.70","€2.09","0.00%","0.00"
"Unknown","Rem | EU | EN","customer list","Campaign paused","—","—","0","0","—","—","€0.00","0.00%","0.00","€0.00"
"Unknown","Rem | EU | DE","14 days add cart","Campaign paused","—","—","0","0","—","—","€0.00","0.00%","0.00","€0.00"
"Unknown","Rem | EU | DE","customer list","Campaign paused","—","—","0","0","—","—","€0.00","0.00%","0.00","€0.00"
"Unknown","Rem | NL","14 days add cart","Campaign paused","—","—","0","0","—","—","€0.00","0.00%","0.00","€0.00"
"Unknown","Rem | NL","customer list","Campaign paused","—","—","0","0","—","—","€0.00","0.00%","0.00","€0.00"
"Unknown","DGen | EN","All Products","Campaign paused","—","€0.72","446,407","1,440","Clicks, engagements","0.32%","€0.22","€322.04","0.00%","0.00"
"Unknown","ADa_Brand_NL","Phrase","Eligible","—","€90.87","23","3","Clicks","13.04%","€0.70","€2.09","0.00%","0.00"
"Unknown","Rem | EU | EN","customer list","Campaign paused","—","—","0","0","—","—","€0.00","0.00%","0.00","€0.00"
"Unknown","Rem | EU | DE","14 days add cart","Campaign paused","—","—","0","0","—","—","€0.00","0.00%","0.00","€0.00"
"Unknown","Rem | EU | DE","customer list","Campaign paused","—","—","0","0","—","—","€0.00","0.00%","0.00","€0.00"
"Unknown","Rem | NL","14 days add cart","Campaign paused","—","—","0","0","—","—","€0.00","0.00%","0.00","€0.00"
"Unknown","Rem | NL","customer list","Campaign paused","—","—","0","0","—","—","€0.00","0.00%","0.00","€0.00"
"Unknown","DGen | EN","All Products","Campaign paused","—","€0.72","446,407","1,440","Clicks, engagements","0.32%","€0.22","€322.04","0.00%","0.00"
"Unknown","ADa_Brand_NL","Phrase","Eligible","—","€90.87","23","3","Clicks","13.04%","€0.70","€2.09","0.00%","0.00"
"Unknown","Rem | EU | EN","customer list","Campaign paused","—","—","0","0","—","—","€0.00","0.00%","0.00","€0.00"
"Unknown","Rem | EU | DE","14 days add cart","Campaign paused","—","—","0","0","—","—","€0.00","0.00%","0.00","€0.00"
"Unknown","Rem | EU | DE","customer list","Campaign paused","—","—","0","0","—","—","€0.00","0.00%","0.00","€0.00"
"Unknown","Rem | NL","14 days add cart","Campaign paused","—","—","0","0","—","—","€0.00","0.00%","0.00","€0.00"
"Unknown","Rem | NL","customer list","Campaign paused","—","—","0","0","—","—","€0.00","0.00%","0.00","€0.00"
"Unknown","DGen | EN","All Products","Campaign paused","—","€0.72","446,407","1,440","Clicks, engagements","0.32%","€0.22","€322.04","0.00%","0.00"
"Unknown","ADa_Brand_NL","Phrase","Eligible","—","€90.87","23","3","Clicks","13.04%","€0.70","€2.09","0.00%","0.00"
"Unknown","Rem | EU | EN","customer list","Campaign paused","—","—","0","0","—","—","€0.00","0.00%","0.00","€0.00"
"Unknown","Rem | EU | DE","14 days add cart","Campaign paused","—","—","0","0","—","—","€0.00","0.00%","0.00","€0.00"
"Unknown","Rem | EU | DE","customer list","Campaign paused","—","—","0","0","—","—","€0.00","0.00%","0.00","€0.00"
"Unknown","Rem | NL","14 days add cart","Campaign paused","—","—","0","0","—","—","€0.00","0.00%","0.00","€0.00"
"Unknown","Rem | NL","customer list","Campaign paused","—","—","0","0","—","—","€0.00","0.00%","0.00","€0.00"
"Unknown","DGen | EN","All Products","Campaign paused","—","€0.72","446,407","1,440","Clicks, engagements","0.32%","€0.22","€322.04","0.00%","0.00"
"Unknown","ADa_Brand_NL","Phrase","Eligible","—","€90.87","23","3","Clicks","13.04%","€0.70","€2.09","0.00%","0.00"
"Unknown","Rem | EU | EN","customer list","Campaign paused","—","—","0","0","—","—","€0.00","0.00%","0.00","€0.00"
"Unknown","Rem | EU | DE","14 days add cart","Campaign paused","—","—","0","0","—","—","€0.00","0.00%","0.00","€0.00"
"Unknown","Rem | EU | DE","customer list","Campaign paused","—","—","0","0","—","—","€0.00","0.00%","0.00","€0.00"
"Unknown","Rem | NL","14 days add cart","Campaign paused","—","—","0","0","—","—","€0.00","0.00%","0.00","€0.00"
"Unknown","Rem | NL","customer list","Campaign paused","—","—","0","0","—","—","€0.00","0.00%","0.00","€0.00"
"Unknown","DGen | EN","All Products","Campaign paused","—","€0.72","446,407","1,440","Clicks, engagements","0.32%","€0.22","€322.04","0.00%","0.00"
"Unknown","ADa_Brand_NL","Phrase","Eligible","—","€90.87","23","3","Clicks","13.04%","€0.70","€2.09","0.00%","0.00"
"Unknown","Rem | EU | EN","customer list","Campaign paused","—","—","0","0","—","—","€0.00","0.00%","0.00","€0.00"
"Unknown","Rem | EU | DE","14 days add cart","Campaign paused","—","—","0","0","—","—","€0.00","0.00%","0.00","€0.00"
"Unknown","Rem | EU | DE","customer list","Campaign paused","—","—","0","0","—","—","€0.00","0.00%","0.00","€0.00"
"Unknown","Rem | NL","14 days add cart","Campaign paused","—","—","0","0","—","—","€0.00","0.00%","0.00","€0.00"
"Unknown","Rem | NL","customer list","Campaign paused","—","—","0","0","—","—","€0.00","0.00%","0.00","€0.00"
"Unknown","DGen | EN","All Products","Campaign paused","—","€0.72","446,407","1,440","Clicks, engagements","0.32%","€0.22","€322.04","0.00%","0.00"
"Unknown","ADa_Brand_NL","Phrase","Eligible","—","€90.87","23","3","Clicks","13.04%","€0.70","€2.09","0.00%","0.00"
"Unknown","Rem | EU | EN","customer list","Campaign paused","—","—","0","0","—","—","€0.00","0.00%","0.00","€0.00"
